CRN,Class Name,Time Start,Time End,Days,Date Start,Date End,Building,Room
14782,ACCT 2110,2:00 pm,3:15 pm,MW,"Aug 17, 2026","Dec 11, 2026",Lowder Hall,113A
14783,ACCT 2110,3:30 pm,6:00 pm,M,"Aug 17, 2026","Dec 11, 2026",Lowder Hall,15
14784,ACCT 2110,8:00 am,9:15 am,TR,"Aug 17, 2026","Dec 11, 2026",Lowder Hall,125A
14785,ACCT 2110,11:00 am,12:15 pm,TR,"Aug 17, 2026","Dec 11, 2026",Lowder Hall,125A
14786,ACCT 2110,12:30 pm,1:45 pm,TR,"Aug 17, 2026","Dec 11, 2026",Lowder Hall,125A
14789,ACCT 2117,3:30 pm,4:45 pm,MW,"Aug 17, 2026","Dec 11, 2026",Lowder Hall,124
14790,ACCT 2210,2:00 pm,3:15 pm,TR,"Aug 17, 2026","Dec 11, 2026",Lowder Hall,110
14791,ACCT 2210,3:30 pm,4:45 pm,TR,"Aug 17, 2026","Dec 11, 2026",Lowder Hall,113A
14793,ACCT 2700,2:00 pm,3:15 pm,MW,"Aug 17, 2026","Dec 11, 2026",Horton-Hardgrave Hall,2018
14794,ACCT 2700,3:30 pm,4:45 pm,MW,"Aug 17, 2026","Dec 11, 2026",Horton-Hardgrave Hall,2018
14795,ACCT 2700,8:00 am,9:15 am,TR,"Aug 17, 2026","Dec 11, 2026",Lowder Hall,113A
14796,ACCT 2700,8:00 am,9:15 am,TR,"Aug 17, 2026","Dec 11, 2026",Lowder Hall,14
14797,ACCT 2700,9:30 am,10:45 am,TR,"Aug 17, 2026","Dec 11, 2026",Lowder Hall,113A
14799,ACCT 2810,3:30 pm,4:45 pm,TR,"Aug 17, 2026","Dec 11, 2026",Lowder Hall,129
14802,ACCT 3810,3:30 pm,4:45 pm,M,"Aug 17, 2026","Dec 11, 2026",Lowder Hall,125A
14804,ACCT 5110,8:00 am,9:15 am,MW,"Aug 17, 2026","Dec 11, 2026",Lowder Hall,110
14805,ACCT 5110,9:30 am,10:45 am,MW,"Aug 17, 2026","Dec 11, 2026",Lowder Hall,9
14806,ACCT 5110,9:30 am,10:45 am,MW,"Aug 17, 2026","Dec 11, 2026",Lowder Hall,112
14807,ACCT 5110,11:00 am,12:15 pm,MW,"Aug 17, 2026","Dec 11, 2026",Lowder Hall,15
14808,ACCT 5110,2:00 pm,3:15 pm,MW,"Aug 17, 2026","Dec 11, 2026",Lowder Hall,124
14809,ACCT 5110,2:00 pm,3:15 pm,MW,"Aug 17, 2026","Dec 11, 2026",Lowder Hall,110
14810,ACCT 5110,11:00 am,12:15 pm,MW,"Aug 17, 2026","Dec 11, 2026",Lowder Hall,110
14811,ACCT 5110,8:00 am,9:15 am,TR,"Aug 17, 2026","Dec 11, 2026",Lowder Hall,124
14813,ACCT 5120,9:30 am,10:45 am,TR,"Aug 17, 2026","Dec 11, 2026",Lowder Hall,124
14814,ACCT 5120,11:00 am,12:15 pm,TR,"Aug 17, 2026","Dec 11, 2026",Lowder Hall,110
14816,ACCT 5130,12:30 pm,1:45 pm,MW,"Aug 17, 2026","Dec 11, 2026",Lowder Hall,9
14818,ACCT 5210,11:00 am,12:15 pm,MW,"Aug 17, 2026","Dec 11, 2026",Lowder Hall,9
14820,ACCT 5300,8:00 am,9:15 am,MW,"Aug 17, 2026","Dec 11, 2026",Lowder Hall,9
14821,ACCT 5300,9:30 am,10:45 am,MW,"Aug 17, 2026","Dec 11, 2026",Lowder Hall,110
14823,ACCT 5410,3:30 pm,4:45 pm,TR,"Aug 17, 2026","Dec 11, 2026",Lowder Hall,124
14825,ACCT 5420,9:30 am,10:45 am,TR,"Aug 17, 2026","Dec 11, 2026",Lowder Hall,110
14826,ACCT 5420,11:00 am,12:15 pm,TR,"Aug 17, 2026","Dec 11, 2026",Lowder Hall,9
14828,ACCT 5510,12:30 pm,1:45 pm,TR,"Aug 17, 2026","Dec 11, 2026",Lowder Hall,9
